[2026-05-05 19:07:49] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.14 dB
[2026-05-05 19:07:56] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -6.90 dB
[2026-05-05 19:08:33] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.02 dB
[2026-05-05 19:08:54] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.19 dB
[2026-05-05 19:09:10] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.77 dB
[2026-05-05 19:09:14] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.92 dB
[2026-05-05 19:09:39] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -6.76 dB
[2026-05-05 19:09:41] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -7.13 dB
[2026-05-05 19:09:56] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -14.71 dB
[2026-05-05 19:10:01] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.91 dB
[2026-05-05 19:10:05] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -14.25 dB
[2026-05-05 19:10:14] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.92 dB
[2026-05-05 19:10:22] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.24 dB
[2026-05-05 19:10:29] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -13.50 dB
[2026-05-05 19:10:33] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.53 dB
[2026-05-05 19:10:37] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -8.58 dB
[2026-05-05 19:10:39] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.39 dB
[2026-05-05 19:10:59] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.87 dB
[2026-05-05 19:11:07] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.62 dB
[2026-05-05 19:11:44] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.91 dB
[2026-05-05 19:12:03] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -9.62 dB
[2026-05-05 19:12:29] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -8.49 dB
[2026-05-05 19:12:42] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -13.31 dB
[2026-05-05 19:12:49] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.29 dB
[2026-05-05 19:13:10] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.74 dB
[2026-05-05 19:13:12] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.60 dB
[2026-05-05 19:13:35] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -12.98 dB
[2026-05-05 19:13:46] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -12.59 dB
[2026-05-05 19:14:02] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.72 dB
[2026-05-05 19:14:27] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.56 dB
[2026-05-05 19:14:29] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -10.55 dB
[2026-05-05 19:14:50] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.63 dB
[2026-05-05 19:15:01] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -9.31 dB
[2026-05-05 19:15:03] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.42 dB
[2026-05-05 19:15:06] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -12.16 dB
[2026-05-05 19:15:35] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.69 dB
[2026-05-05 19:15:37] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.14 dB
[2026-05-05 19:16:00] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -14.17 dB
[2026-05-05 19:16:07] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -9.03 dB
[2026-05-05 19:16:18] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.25 dB
[2026-05-05 19:16:39] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.36 dB
[2026-05-05 19:16:50] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -10.53 dB
[2026-05-05 19:17:26] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.39 dB
[2026-05-05 19:17:35] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.08 dB
[2026-05-05 19:17:58] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.85 dB
[2026-05-05 19:18:12] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -10.16 dB
[2026-05-05 19:18:19] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.50 dB
[2026-05-05 19:18:48] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -12.83 dB
[2026-05-05 19:19:09] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.50 dB
[2026-05-05 19:19:34] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.73 dB
[2026-05-05 19:19:38] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.08 dB
[2026-05-05 19:20:35] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.29 dB
[2026-05-05 19:20:51] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.81 dB
[2026-05-05 19:20:56] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -8.86 dB
[2026-05-05 19:21:03] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.26 dB
[2026-05-05 19:21:12] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -14.61 dB
[2026-05-05 19:21:21] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.51 dB
[2026-05-05 19:22:06] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.04 dB
[2026-05-05 19:22:15] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.69 dB
[2026-05-05 19:22:27] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -5.37 dB
[2026-05-05 19:23:01] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -9.73 dB
[2026-05-05 19:23:17] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -12.76 dB
[2026-05-05 19:23:26] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.91 dB
[2026-05-05 19:23:30] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -8.37 dB
[2026-05-05 19:23:42] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -6.47 dB
[2026-05-05 19:24:16] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -4.60 dB
[2026-05-05 19:24:40] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -9.88 dB
[2026-05-05 19:25:31] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -17.93 dB
[2026-05-05 19:25:36] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.09 dB
[2026-05-05 19:25:38] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.40 dB
[2026-05-05 19:25:52] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.41 dB
[2026-05-05 19:26:05] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -15.58 dB
[2026-05-05 19:26:15] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -16.91 dB
[2026-05-05 19:26:32] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -12.38 dB
[2026-05-05 19:39:16] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -14.69 dB
[2026-05-05 19:39:25] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.07 dB
[2026-05-05 19:39:29] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -10.75 dB
[2026-05-05 19:39:49] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -4.70 dB
[2026-05-05 19:40:11] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -10.41 dB
[2026-05-05 19:40:37] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -10.32 dB
[2026-05-05 19:40:46] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.07 dB
[2026-05-05 19:41:01] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -17.80 dB
[2026-05-05 19:41:14] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -10.84 dB
[2026-05-05 19:41:25] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -17.08 dB
[2026-05-05 19:41:53] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -17.78 dB
[2026-05-05 19:42:07] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -16.11 dB
[2026-05-05 19:42:23] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -9.50 dB
[2026-05-05 19:42:28] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -17.07 dB
[2026-05-05 19:43:08] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -7.17 dB
[2026-05-05 19:43:11] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.18 dB
[2026-05-05 19:43:13] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.06 dB
[2026-05-05 19:43:54] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -5.13 dB
[2026-05-05 19:43:57] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -13.79 dB
[2026-05-05 19:44:22] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -14.97 dB
[2026-05-05 19:44:25] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -11.30 dB
[2026-05-05 19:44:37] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -11.92 dB
[2026-05-05 19:44:41] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -15.69 dB
[2026-05-05 19:44:48] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -9.03 dB
[2026-05-05 19:45:17] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -9.47 dB
[2026-05-05 19:45:26] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -7.68 dB
[2026-05-05 19:45:50] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.81 dB
[2026-05-05 19:46:53] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.79 dB
[2026-05-05 19:46:58] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -15.19 dB
[2026-05-05 19:47:11] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -15.87 dB
[2026-05-05 19:47:15] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -13.95 dB
[2026-05-05 19:47:18] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -14.96 dB
[2026-05-05 19:47:33] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -10.59 dB
[2026-05-05 19:47:52] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -9.35 dB
[2026-05-05 19:48:34] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -14.96 dB
[2026-05-05 19:49:02] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -17.74 dB
[2026-05-05 19:49:04] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -13.40 dB
[2026-05-05 19:49:11] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -16.04 dB
[2026-05-05 19:49:15] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -16.84 dB
[2026-05-05 19:49:20] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -8.60 dB
[2026-05-05 19:49:26] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.24 dB
[2026-05-05 19:49:29] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -10.85 dB
[2026-05-05 19:50:04] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -17.63 dB
[2026-05-05 19:50:57] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.37 dB
[2026-05-05 19:51:13] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -7.39 dB
[2026-05-05 19:51:30] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -14.91 dB
[2026-05-05 19:51:37] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -12.02 dB
[2026-05-05 19:52:10] STATUS: RECOVERED_LOC | TRUST: 20% | RSSI: -14.14 dB
[2026-05-05 22:00:41] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -10.61 dB
[2026-05-05 22:00:43] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.21 dB
[2026-05-05 22:00:46] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.49 dB
[2026-05-05 22:00:49] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 30.0% | RSSI: -36.46 dB
[2026-05-05 22:00:52] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -13.20 dB
[2026-05-05 22:00:56] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.14 dB
[2026-05-05 22:00:59] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.83 dB
[2026-05-05 22:01:02] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.26 dB
[2026-05-05 22:01:05] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.07 dB
[2026-05-05 22:01:08] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.19 dB
[2026-05-05 22:01:11] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -15.34 dB
[2026-05-05 22:01:13] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -22.46 dB
[2026-05-05 22:01:16] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.84 dB
[2026-05-05 22:01:19] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -59.38 dB
[2026-05-05 22:01:22] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.74 dB
[2026-05-05 22:01:24] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.18 dB
